,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
F0,0.797572704373712,0.0025188916876574307,0.008014655369819098,0.0,0.0,0.024043966109457294,0.043737119303869934,0.001144950767117014,0.07923059308449737,0.005266773528738264,0.03847034577513167
F1,0.022,0.398,0.0,0.168,0.0,0.0,0.0,0.24,0.056,0.088,0.028
F2,0.20967741935483872,0.0,0.0,0.0,0.3064516129032258,0.013440860215053764,0.0,0.02956989247311828,0.22580645161290322,0.20430107526881722,0.010752688172043012
F3,0.0,0.02490364660539579,0.0,0.8588793359027572,0.0,0.0,0.0,0.10465461013934184,0.004447079750963534,0.006522383634746516,0.0005929439667951378
F4,0.0,0.0,0.014238494787693873,0.0,0.8461734045258072,0.08721078057462497,0.05237732011187389,0.0,0.0,0.0,0.0
F5,0.17326732673267325,0.0,0.0033003300330033004,0.0,0.566006600660066,0.23927392739273928,0.013201320132013201,0.0,0.0049504950495049506,0.0,0.0
F6,0.20600858369098712,0.0,0.0,0.0,0.22103004291845493,0.008583690987124463,0.06223175965665236,0.04935622317596566,0.17381974248927037,0.27682403433476394,0.002145922746781116
F7,0.0011999040076793857,0.02855771538276938,0.0009599232061435085,0.061195104391648665,0.0,0.0,0.011279097672186225,0.8044156467482602,0.035277177825773935,0.0367170626349892,0.020398368130549557
F8,0.07081587871534012,0.005784959106323559,0.009575104727707959,0.007979253939756632,0.0,0.0005984440454817474,0.03171753441053261,0.034310791940953524,0.7897466586874127,0.02952323957709954,0.01994813484939158
F9,0.0027467496795458707,0.007874015748031496,0.007324665812122322,0.007324665812122322,0.0,0.0,0.04687786119758286,0.020325947628639443,0.01684673136788134,0.8271378868339132,0.06354147592016114
F10,0.1347233360064154,0.011226944667201283,0.0008019246190858059,0.0016038492381716118,0.0,0.0,0.0032076984763432237,0.06896551724137931,0.07618283881315156,0.29109863672814756,0.41218925421010427
