source_id,target_id,edge_kind,shared_length_m,centroid_dist_m,walk_dist_m,walk_time_min,cross_arterial,cross_rail,cross_river,cross_elevated,has_crossing_facility,barrier_cost,angular_cost,edge_cost,edge_conductance,edge_weight_norm,flow_geojson_class,allow_N01_pedestrian,allow_N01_bike,allow_N02_fast_auto,allow_N03_slow_auto,allow_N04_transit_proxy
r353445_3455177,r353466_3455102,flow_road_segment,0.0,78.4265895431615,78.4265895431615,0.9411190745179381,0,0,0,0,0,0.0,0.0,0.9411190745179381,0.012750777584809516,0.0,,1,1,1,1,1
r353466_3455102,r353492_3455009,flow_road_segment,0.0,95.76929921659872,95.76929921659872,1.1492315905991848,0,0,0,0,0,0.0,0.0,1.1492315905991848,0.010441759605427708,0.0,,1,1,1,1,1
r353492_3455009,r353510_3454949,flow_road_segment,0.0,63.02526835202339,63.02526835070797,0.7563032202084956,0,0,0,0,0,0.0,0.0,0.7563032202084956,0.031733303995629264,0.0,,1,1,1,1,1
r353510_3454949,r353520_3454919,flow_road_segment,0.0,31.82206200840602,31.82206200840602,0.3818647441008723,0,0,0,0,0,0.0,0.0,0.3818647441008723,0.031424739218214176,0.0,,1,1,1,1,1
r353616_3454921,r353619_3454918,flow_road_segment,0.0,3.9016800184681797,3.9016800184681797,0.04682016022161816,0,0,0,0,0,0.0,0.0,0.04682016022161816,0.125,0.0,,1,1,1,1,1
r353610_3454927,r353616_3454921,flow_road_segment,0.0,8.569168632218576,8.569168632218576,0.10283002358662291,0,0,0,0,0,0.0,0.0,0.10283002358662291,0.1166974350627405,0.0,,1,1,1,1,1
r353608_3454929,r353610_3454927,flow_road_segment,0.0,2.9870579916940967,2.9870579916940967,0.03584469590032916,0,0,0,0,0,0.0,0.0,0.03584469590032916,0.125,0.0,,1,1,1,1,1
r353581_3454918,r353588_3454921,flow_road_segment,0.0,7.826563226717003,7.826563226717003,0.09391875872060404,0,0,0,0,0,0.0,0.0,0.09391875872060404,0.125,0.0,,1,1,1,1,1
r353626_3454995,r353632_3454982,flow_road_segment,0.0,14.040804922547881,14.04080492254788,0.1684896590705746,0,0,0,0,0,0.0,0.0,0.1684896590705746,0.142441976156811,0.0,,1,1,1,1,1
r353632_3454982,r353638_3454980,flow_road_segment,0.0,6.28971545239307,6.28971545239307,0.07547658542871684,0,0,0,0,0,0.0,0.0,0.07547658542871684,0.25,0.0,,1,1,1,1,1
r353638_3454980,r353641_3454979,flow_road_segment,0.0,3.8968583288360255,3.896858328615696,0.0467622999433883,0,0,0,0,0,0.0,0.0,0.0467622999433883,0.25,0.0,,1,1,1,1,1
r353641_3454979,r353644_3454976,flow_road_segment,0.0,4.025366542429741,4.025366542429741,0.048304398509156896,0,0,0,0,0,0.0,0.0,0.048304398509156896,0.25,0.0,,1,1,1,1,1
r353644_3454976,r353647_3454972,flow_road_segment,0.0,4.192171435559191,4.192171434788381,0.0503060572174605,0,0,0,0,0,0.0,0.0,0.0503060572174605,0.25,0.0,,1,1,1,1,1
r353647_3454971,r353647_3454972,flow_road_segment,0.0,1.5889679351339063,1.5889679351339063,0.0190676152216068,0,0,0,0,0,0.0,0.0,0.0190676152216068,0.25,0.0,,1,1,1,1,1
