source_id,target_id,edge_kind,shared_length_m,centroid_dist_m,walk_dist_m,walk_time_min,cross_arterial,cross_rail,cross_river,cross_elevated,has_crossing_facility,barrier_cost,angular_cost,edge_cost,edge_conductance,edge_weight_norm,flow_geojson_class,allow_N01_pedestrian,allow_N01_bike,allow_N02_fast_auto,allow_N03_slow_auto,allow_N04_transit_proxy
r354527_3455089,r354526_3455105,flow_road_segment,0.0,15.564512170399778,15.564512170399778,0.18677414604479736,0,0,0,0,0,0.0,0.0,0.18677414604479736,0.06424872100403997,0.0,慢行与人行（原始矢量）,1,1,0,0,0
r354526_3455105,r354525_3455111,flow_road_segment,0.0,6.724407511443045,6.724407511443045,0.08069289013731654,0,0,0,0,0,0.0,0.0,0.08069289013731654,0.125,0.0,慢行与人行（原始矢量）,1,1,0,0,0
r354525_3455111,r354524_3455115,flow_road_segment,0.0,3.4579573148659013,3.4579573148659013,0.041495487778390815,0,0,0,0,0,0.0,0.0,0.041495487778390815,0.125,0.0,慢行与人行（原始矢量）,1,1,0,0,0
r354602_3455105,r354600_3455141,flow_road_segment,0.0,35.568277712756625,35.568277712756625,0.4268193325530795,0,0,0,0,0,0.0,0.0,0.4268193325530795,0.028114940174383204,0.0,慢行与人行（原始矢量）,1,1,0,0,0
r354524_3455115,r354520_3455120,flow_road_segment,0.0,7.306808819413858,7.306808819413858,0.0876817058329663,0,0,0,0,0,0.0,0.0,0.0876817058329663,0.125,0.0,慢行与人行（原始矢量）,1,1,0,0,0
r354520_3455120,r354513_3455123,flow_road_segment,0.0,7.038932252063651,7.038932252063651,0.08446718702476382,0,0,0,0,0,0.0,0.0,0.08446718702476382,0.125,0.0,慢行与人行（原始矢量）,1,1,0,0,0
r354513_3455123,r354493_3455127,flow_road_segment,0.0,20.568913351249734,20.568913351249734,0.2468269602149968,0,0,0,0,0,0.0,0.0,0.2468269602149968,0.048617055404107754,0.0,慢行与人行（原始矢量）,1,1,0,0,0
r354493_3455127,r354485_3455132,flow_road_segment,0.0,8.815920019408972,8.815920019408972,0.10579104023290767,0,0,0,0,0,0.0,0.0,0.10579104023290767,0.11343115611285241,0.0,慢行与人行（原始矢量）,1,1,0,0,0
r354485_3455132,r354481_3455137,flow_road_segment,0.0,7.30680505939972,7.30680505939972,0.08768166071279664,0,0,0,0,0,0.0,0.0,0.08768166071279664,0.125,0.0,慢行与人行（原始矢量）,1,1,0,0,0
r354481_3455137,r354478_3455143,flow_road_segment,0.0,6.231143250903906,6.231143250903906,0.07477371901084688,0,0,0,0,0,0.0,0.0,0.07477371901084688,0.125,0.0,慢行与人行（原始矢量）,1,1,0,0,0
r354524_3455115,r354531_3455116,flow_road_segment,0.0,6.800142587957469,6.800142587957469,0.08160171105548963,0,0,0,0,0,0.0,0.0,0.08160171105548963,0.125,0.0,慢行与人行（原始矢量）,1,1,0,0,0
r354531_3455116,r354537_3455120,flow_road_segment,0.0,7.288981437264745,7.288981437264745,0.08746777724717694,0,0,0,0,0,0.0,0.0,0.08746777724717694,0.125,0.0,慢行与人行（原始矢量）,1,1,0,0,0
r354537_3455120,r354542_3455127,flow_road_segment,0.0,8.222388550889688,8.222388550889688,0.09866866261067626,0,0,0,0,0,0.0,0.0,0.09866866261067626,0.12161916136787246,0.0,慢行与人行（原始矢量）,1,1,0,0,0
r354542_3455127,r354545_3455138,flow_road_segment,0.0,11.490572046014245,11.490572046014245,0.13788686455217095,0,0,0,0,0,0.0,0.0,0.13788686455217095,0.08702786910829838,0.0,慢行与人行（原始矢量）,1,1,0,0,0
r354545_3455138,r354546_3455154,flow_road_segment,0.0,16.68924942952543,16.68924942952543,0.20027099315430516,0,0,0,0,0,0.0,0.0,0.20027099315430516,0.05991881206058742,0.0,慢行与人行（原始矢量）,1,1,0,0,0
r354478_3455143,r354477_3455153,flow_road_segment,0.0,10.030026145446737,10.030026145446737,0.12036031374536085,0,0,0,0,0,0.0,0.0,0.12036031374536085,0.09970063741598154,0.0,慢行与人行（原始矢量）,1,1,0,0,0
r354600_3455141,r354589_3455146,flow_road_segment,0.0,12.72775572165337,12.72775572165337,0.15273306865984046,0,0,0,0,0,0.0,0.0,0.15273306865984046,0.07856844693355705,0.0,慢行与人行（原始矢量）,1,1,0,0,0
r354589_3455146,r354576_3455151,flow_road_segment,0.0,14.080941894214781,14.080941894214781,0.1689713027305774,0,0,0,0,0,0.0,0.0,0.1689713027305774,0.0710179764615643,0.0,慢行与人行（原始矢量）,1,1,0,0,0
r354576_3455151,r354560_3455154,flow_road_segment,0.0,15.66055450633299,15.66055450633299,0.18792665407599587,0,0,0,0,0,0.0,0.0,0.18792665407599587,0.06385469937195448,0.0,慢行与人行（原始矢量）,1,1,0,0,0
r354560_3455154,r354546_3455154,flow_road_segment,0.0,14.353397480551497,14.353397480551497,0.17224076976661798,0,0,0,0,0,0.0,0.0,0.17224076976661798,0.06966991622401425,0.0,慢行与人行（原始矢量）,1,1,0,0,0
r354586_3455168,r354596_3455157,flow_road_segment,0.0,15.238470983314436,15.238470983314436,0.18286165179977323,0,0,0,0,0,0.0,0.0,0.18286165179977323,0.06562338184027539,0.0,慢行与人行（原始矢量）,1,1,0,0,0
r354596_3455157,r354600_3455141,flow_road_segment,0.0,17.30192746207486,17.30192746207486,0.20762312954489834,0,0,0,0,0,0.0,0.0,0.20762312954489834,0.05779702881034268,0.0,慢行与人行（原始矢量）,1,1,0,0,0
r354467_3455173,r354467_3455166,flow_road_segment,0.0,6.659322204031194,6.659322204031194,0.07991186644837434,0,0,0,0,0,0.0,0.0,0.07991186644837434,0.125,0.0,慢行与人行（原始矢量）,1,1,0,0,0
r354467_3455166,r354470_3455159,flow_road_segment,0.0,8.2677849389005,8.2677849389005,0.099213419266806,0,0,0,0,0,0.0,0.0,0.099213419266806,0.12095138025360709,0.0,慢行与人行（原始矢量）,1,1,0,0,0
r354470_3455159,r354473_3455155,flow_road_segment,0.0,5.049950991687902,5.049950991687902,0.060599411900254835,0,0,0,0,0,0.0,0.0,0.060599411900254835,0.125,0.0,慢行与人行（原始矢量）,1,1,0,0,0
r354473_3455155,r354477_3455153,flow_road_segment,0.0,4.416485382622335,4.416485382622335,0.052997824591468026,0,0,0,0,0,0.0,0.0,0.052997824591468026,0.125,0.0,慢行与人行（原始矢量）,1,1,0,0,0
r354477_3455153,r354489_3455153,flow_road_segment,0.0,11.489582936224332,11.489582936224332,0.137874995234692,0,0,0,0,0,0.0,0.0,0.137874995234692,0.08703536112239568,0.0,慢行与人行（原始矢量）,1,1,0,0,0
r354489_3455153,r354500_3455158,flow_road_segment,0.0,12.793357039192927,12.793357039192927,0.15352028447031513,0,0,0,0,0,0.0,0.0,0.15352028447031513,0.07816556646832123,0.0,慢行与人行（原始矢量）,1,1,0,0,0
r354500_3455158,r354503_3455166,flow_road_segment,0.0,8.31033480056993,8.31033480056993,0.09972401760683916,0,0,0,0,0,0.0,0.0,0.09972401760683916,0.12033209539661617,0.0,慢行与人行（原始矢量）,1,1,0,0,0
r354503_3455166,r354504_3455175,flow_road_segment,0.0,8.938862869106295,8.938862869106295,0.10726635442927554,0,0,0,0,0,0.0,0.0,0.10726635442927554,0.11187105279980425,0.0,慢行与人行（原始矢量）,1,1,0,0,0
r354437_3455118,r354438_3455108,flow_road_segment,0.0,10.030027372213326,10.030027372213326,0.12036032846655992,0,0,0,0,0,0.0,0.0,0.12036032846655992,0.0997006252216568,0.0,慢行与人行（原始矢量）,1,1,0,0,0
r354438_3455108,r354439_3455099,flow_road_segment,0.0,8.927872525371004,8.927872525371004,0.10713447030445206,0,0,0,0,0,0.0,0.0,0.10713447030445206,0.11200876772805896,0.0,慢行与人行（原始矢量）,1,1,0,0,0
r354439_3455099,r354443_3455091,flow_road_segment,0.0,9.095653979800975,9.095653979800975,0.1091478477576117,0,0,0,0,0,0.0,0.0,0.1091478477576117,0.10994261679487079,0.0,慢行与人行（原始矢量）,1,1,0,0,0
r354443_3455091,r354460_3455073,flow_road_segment,0.0,24.660404231010713,24.660404231010713,0.29592485077212854,0,0,0,0,0,0.0,0.0,0.29592485077212854,0.04055083568916075,0.0,慢行与人行（原始矢量）,1,1,0,0,0
r354437_3455118,r354448_3455117,flow_road_segment,0.0,10.583663816311168,10.583663816311168,0.12700396579573403,0,0,0,0,0,0.0,0.0,0.12700396579573403,0.09448523851058416,0.0,慢行与人行（原始矢量）,1,1,0,0,0
r354448_3455117,r354457_3455119,flow_road_segment,0.0,9.847685153212048,9.847685153212048,0.11817222183854457,0,0,0,0,0,0.0,0.0,0.11817222183854457,0.10154670711358264,0.0,慢行与人行（原始矢量）,1,1,0,0,0
r354457_3455119,r354466_3455123,flow_road_segment,0.0,9.715058193593459,9.715058193593459,0.11658069832312151,0,0,0,0,0,0.0,0.0,0.11658069832312151,0.1029329912464595,0.0,慢行与人行（原始矢量）,1,1,0,0,0
r354466_3455123,r354473_3455130,flow_road_segment,0.0,9.492364657406203,9.492364657406203,0.11390837588887444,0,0,0,0,0,0.0,0.0,0.11390837588887444,0.10534782807988446,0.0,慢行与人行（原始矢量）,1,1,0,0,0
r354473_3455130,r354478_3455143,flow_road_segment,0.0,14.18904194151471,14.18904194151471,0.17026850329817653,0,0,0,0,0,0.0,0.0,0.17026850329817653,0.07047692184728632,0.0,慢行与人行（原始矢量）,1,1,0,0,0
r354424_3455168,r354425_3455146,flow_road_segment,0.0,22.273593652534654,22.273593652534654,0.26728312383041586,0,0,0,0,0,0.0,0.0,0.26728312383041586,0.04489621278002455,0.0,慢行与人行（原始矢量）,1,1,0,0,0
r354425_3455146,r354429_3455133,flow_road_segment,0.0,12.777119809689914,12.777119809689914,0.153325437716279,0,0,0,0,0,0.0,0.0,0.153325437716279,0.07826489967180396,0.0,慢行与人行（原始矢量）,1,1,0,0,0
r354429_3455133,r354437_3455118,flow_road_segment,0.0,17.70969031985817,17.70969031985817,0.21251628383829804,0,0,0,0,0,0.0,0.0,0.21251628383829804,0.05646626123544823,0.0,慢行与人行（原始矢量）,1,1,0,0,0
r354389_3455152,r354424_3455168,flow_road_segment,0.0,38.3940459685683,38.3940459685683,0.4607285516228196,0,0,0,0,0,0.0,0.0,0.4607285516228196,0.02604570512882807,0.0,慢行与人行（原始矢量）,1,1,0,0,0
r354424_3455168,r354435_3455161,flow_road_segment,0.0,13.230164018220968,13.230164018220968,0.15876196821865163,0,0,0,0,0,0.0,0.0,0.15876196821865163,0.07558485281231365,0.0,慢行与人行（原始矢量）,1,1,0,0,0
r354435_3455161,r354446_3455160,flow_road_segment,0.0,10.584183706502582,10.584183706502582,0.127010204478031,0,0,0,0,0,0.0,0.0,0.127010204478031,0.09448059743952027,0.0,慢行与人行（原始矢量）,1,1,0,0,0
r354446_3455160,r354456_3455163,flow_road_segment,0.0,11.07069428901798,11.07069428901798,0.13284833146821579,0,0,0,0,0,0.0,0.0,0.13284833146821579,0.09032857144217143,0.0,慢行与人行（原始矢量）,1,1,0,0,0
r354456_3455163,r354467_3455173,flow_road_segment,0.0,14.564675128029513,14.564675128029513,0.17477610153635417,0,0,0,0,0,0.0,0.0,0.17477610153635417,0.06865927260372008,0.0,慢行与人行（原始矢量）,1,1,0,0,0
