source_id,target_id,synthetic_edge_flow
plot_100,plot_101,6.926669684963007e-08
plot_100,plot_125,3.6161396179211865e-08
plot_100,plot_128,2.8170575312650913e-08
plot_100,plot_19667,4.5201886436819186e-08
plot_100,plot_54,1.6562816818245959e-07
plot_100,plot_56,1.000765639803347e-07
plot_100,plot_69,2.518063489916735e-07
plot_100,plot_72,1.5642020975446525e-07
plot_100,plot_75,8.797421319187112e-08
plot_100,plot_94,6.078349474336419e-08
plot_10010,plot_10012,7.637703663357112e-07
plot_10010,plot_10226,9.175646950119471e-07
plot_10010,plot_11983,2.0202014436408113e-06
plot_10010,plot_16192,5.626146048449206e-07
plot_10010,plot_4657,8.339042129584131e-07
plot_10010,plot_4669,8.14580687446464e-07
plot_10010,plot_9888,4.749945368648507e-06
plot_10011,plot_10012,2.0358836446242157e-06
plot_10011,plot_10224,6.683400828016434e-07
plot_10011,plot_10225,2.3762134072359366e-06
plot_10011,plot_10226,2.4105276246040974e-06
plot_10011,plot_10228,1.1188379987851464e-06
plot_10011,plot_11983,1.247173524772344e-06
plot_10011,plot_4676,5.031435124017017e-07
plot_10011,plot_4677,6.188723728003596e-07
plot_10011,plot_4868,6.13797333861915e-07
plot_10012,plot_10223,6.115915284133536e-07
plot_10012,plot_10224,1.8746466811736069e-06
plot_10012,plot_10225,1.6205122069622798e-06
plot_10012,plot_10226,2.3801612914289815e-06
plot_10012,plot_10227,3.5468216193063153e-06
plot_10012,plot_10228,1.5500275991624032e-06
plot_10012,plot_11983,2.9298068786038803e-06
plot_10012,plot_4624,5.05671229766485e-07
plot_10012,plot_4652,7.088010504439228e-07
plot_10012,plot_4657,2.7593930157624607e-07
plot_10012,plot_9888,8.375505624182531e-07
plot_10031,plot_1014,5.1093686213334195e-08
plot_10031,plot_1015,1.0186950555113102e-08
plot_10031,plot_1016,4.689836809707764e-09
plot_10031,plot_1017,5.355608399445878e-09
plot_10031,plot_1020,1.9846548854601377e-09
plot_10031,plot_1021,4.971343284134645e-09
plot_10031,plot_843,2.032448206773859e-08
plot_10031,plot_977,3.552763261504839e-08
plot_10031,plot_979,1.640225078877436e-08
plot_10032,plot_1022,8.598016481399381e-07
plot_10032,plot_1023,2.7675765302431363e-06
plot_10032,plot_1024,6.415672054966926e-07
plot_10032,plot_920,2.4888995586642385e-06
plot_10032,plot_980,2.664407746042249e-06
plot_10048,plot_10063,6.358451284034186e-09
plot_10048,plot_13,2.404128080262375e-08
plot_10048,plot_19640,6.282239856429231e-09
plot_10048,plot_2759,5.3269002938785375e-08
plot_10048,plot_6299,2.89135942390359e-08
plot_10048,plot_6536,4.4563134795368976e-08
plot_10074,plot_10100,5.868721342728571e-08
plot_10074,plot_10109,2.4570657585371187e-07
plot_10074,plot_10113,2.466603335921249e-07
plot_10074,plot_19749,1.1670633611434126e-07
plot_10074,plot_19791,2.8666206856197543e-07
plot_10074,plot_6698,3.36239572047353e-08
plot_10074,plot_7165,4.9089894390134625e-08
plot_10074,plot_7166,2.3994613713483747e-07
plot_10074,plot_7169,2.197848847007627e-08
plot_10080,plot_16987,1.7720470479487413e-05
plot_10080,plot_19426,1.3029300441382542e-05
plot_10080,plot_6601,9.851130696044396e-06
plot_10080,plot_6616,1.7024862208160413e-05
plot_10080,plot_6768,1.555913475702949e-05
plot_10080,plot_6835,1.1120037512456414e-05
plot_10080,plot_6844,5.760298974684322e-05
plot_10081,plot_10082,8.784512155509302e-07
plot_10081,plot_10083,8.534711640680527e-07
plot_10081,plot_10114,1.3705476510792154e-06
plot_10081,plot_19749,2.0586586117483194e-07
plot_10081,plot_7092,1.0277511247277554e-07
plot_10082,plot_10083,1.080985252421339e-06
plot_10082,plot_10114,2.2278003778108684e-07
plot_10082,plot_3088,2.788582014770845e-07
plot_10082,plot_3089,1.57440137571872e-07
plot_10082,plot_3121,2.584612573410358e-07
plot_10082,plot_3397,1.2218055861648822e-07
plot_10082,plot_6293,2.429733057224011e-07
plot_10083,plot_10114,7.485535514591197e-07
plot_10083,plot_19749,5.421412566094229e-07
plot_10083,plot_3088,1.398281146564448e-07
plot_10083,plot_3089,1.285479931036311e-07
plot_10083,plot_3121,1.595785166558716e-07
plot_10083,plot_3397,7.68119036975722e-08
plot_10087,plot_10117,1.2723090133210492e-08
plot_10087,plot_6288,2.9074312690583057e-08
plot_10087,plot_6332,2.305409227711018e-08
plot_10087,plot_7033,2.6615415333138356e-08
plot_10087,plot_9181,1.0050103338093923e-07
plot_10088,plot_17040,1.0709429315714328e-05
plot_10088,plot_9816,7.308243551138514e-06
plot_10094,plot_6329,2.587784804636859e-05
plot_10094,plot_6448,5.02051102670674e-06
plot_10094,plot_9814,2.7999072472641143e-05
plot_10095,plot_10096,3.7525169084992705e-09
plot_10095,plot_10097,2.1736093945262554e-08
plot_10095,plot_10098,4.8691355444918415e-08
plot_10095,plot_10099,1.3361517652122413e-08
plot_10095,plot_6642,5.36323506952189e-09
plot_10095,plot_6774,7.747154877417633e-09
plot_10095,plot_6838,3.04617945717164e-09
plot_10095,plot_6839,5.507882149941924e-09
plot_10095,plot_6859,2.2914050572748954e-08
plot_10096,plot_10098,2.8070058498698003e-09
plot_10097,plot_10098,4.327726940809421e-09
plot_10098,plot_10099,7.07106404474874e-08
plot_10098,plot_10100,2.2310244672698132e-08
plot_10098,plot_6642,7.018222087540832e-09
plot_10098,plot_6774,7.0036931839680536e-09
plot_10098,plot_6839,3.0402646154707034e-09
plot_10098,plot_6859,2.948605337210439e-08
plot_10099,plot_10100,1.3324673737643126e-07
plot_10099,plot_19791,3.691231599169959e-08
plot_10099,plot_6642,8.59445481661612e-09
plot_10099,plot_6644,1.2824321662943931e-08
plot_10099,plot_6859,4.942159396826241e-08
plot_10099,plot_7165,2.5839457626965847e-08
plot_10099,plot_7166,2.1839314461486494e-08
plot_101,plot_129,8.992490273525969e-08
plot_101,plot_19667,8.032063995481156e-08
plot_101,plot_56,1.6970323626566514e-07
plot_101,plot_5800,2.3069923747146212e-07
plot_101,plot_69,4.416204514395204e-07
plot_101,plot_72,6.035651216165395e-08
plot_101,plot_94,9.476603634500327e-08
plot_10100,plot_10109,4.504991105918508e-08
plot_10100,plot_10110,3.564591884110234e-08
plot_10100,plot_19791,2.106800327645865e-07
plot_10100,plot_6644,1.74578191432187e-08
plot_10100,plot_6859,7.243175260227392e-08
plot_10100,plot_7165,1.4544981522100788e-07
plot_10100,plot_7166,1.6841386849250703e-07
plot_10109,plot_10110,2.685217942250105e-07
plot_10109,plot_10113,1.3151149203763595e-07
plot_10109,plot_19749,1.237990485752967e-07
plot_10109,plot_19791,5.0235512796562017e-08
plot_10109,plot_3090,7.844635449673321e-08
plot_10109,plot_7165,7.166340396657153e-08
plot_10109,plot_7166,2.3961525881783517e-07
plot_10110,plot_10111,8.52045980648851e-08
plot_10110,plot_3090,9.688941232086315e-08
plot_10110,plot_6859,5.574860457434043e-08
plot_10110,plot_7165,2.498776546384264e-07
plot_10110,plot_7166,1.358168729863587e-07
plot_10096,plot_10111,2.6194406579532372e-08
plot_10111,plot_10112,5.98567615420229e-08
plot_10111,plot_3090,4.865072281614936e-08
plot_10111,plot_6331,9.608097438051482e-08
plot_10111,plot_6859,4.4463112587086174e-08
plot_10111,plot_7165,2.984541237450604e-08
plot_10086,plot_10112,1.0893838298635166e-08
plot_10096,plot_10112,1.2275653970565186e-08
plot_10112,plot_6331,3.123103344925458e-08
plot_10112,plot_7666,7.928105586534527e-09
plot_10113,plot_10114,1.8763610227014795e-07
plot_10113,plot_19749,8.002961740321263e-07
plot_10113,plot_6698,6.002140351851017e-08
plot_10113,plot_6753,1.7256230312109145e-07
plot_10113,plot_7166,9.923004435121534e-08
plot_10114,plot_19749,8.158869853115165e-07
plot_10114,plot_6755,1.458566606129056e-07
plot_10115,plot_10116,8.701163035099746e-08
plot_10115,plot_16883,1.7890216110620586e-07
plot_10115,plot_6333,3.1487393613048886e-07
plot_10115,plot_6334,2.51778179222461e-07
plot_10116,plot_16977,8.439018284620899e-09
plot_10116,plot_6332,1.5785300120164357e-08
plot_10116,plot_6333,5.095859529580172e-08
plot_10116,plot_6922,3.8587893821507606e-08
plot_10117,plot_10118,1.2535687706918825e-07
plot_10117,plot_6288,7.042683162073607e-08
plot_10117,plot_6332,1.3193355040821084e-08
plot_10117,plot_6922,8.419829279842785e-09
plot_10117,plot_7033,7.737262837268363e-08
plot_10117,plot_9181,9.707047535724279e-09
plot_10118,plot_16883,1.1851165997571163e-07
plot_10118,plot_6288,8.403160913455834e-08
plot_10118,plot_6334,7.477012458903333e-08
plot_10118,plot_7033,3.372235279501257e-07
plot_10118,plot_7107,7.503433243244568e-08
plot_10118,plot_9769,3.552733736393811e-08
plot_10119,plot_16694,5.3244212394631946e-05
plot_10119,plot_6344,9.240769795358774e-06
plot_10119,plot_6394,9.25110128242752e-06
plot_10119,plot_6395,5.760754656931954e-06
plot_10119,plot_6742,1.3991334593865107e-05
plot_10120,plot_5986,1.191481269327159e-06
plot_10120,plot_6860,7.918535545830244e-08
plot_10120,plot_7033,2.8022100880329816e-08
plot_10120,plot_7107,1.1149767981665334e-07
plot_10120,plot_7108,2.1520543630286557e-07
plot_10120,plot_7109,3.0274980578827524e-07
plot_10120,plot_8985,1.5664881397707368e-07
plot_1013,plot_920,3.323191096714694e-06
plot_1013,plot_965,2.17151407119997e-06
plot_1013,plot_9895,1.1278844549163143e-06
