date,isWorday
20170501,0
20170502,1
20170503,1
20170504,1
20170505,1
20170506,0
20170507,0
20170508,1
20170509,1
20170510,1
20170511,1
20170512,1
20170513,0
20170514,0
20170515,1
20170516,1
20170517,1
20170518,1
20170519,1
20170520,0
20170521,0
20170522,1
20170523,1
20170524,1
20170525,1
20170526,1
20170527,1
20170528,0
20170529,0
20170530,0
20170531,1
20170601,1
20170602,1
20170603,0
20170604,0
20170605,1
20170606,1
20170607,1
20170608,1
20170609,1
20170610,0
20170611,0
20170612,1
20170613,1
20170614,1
20170615,1
20170616,1
20170617,0
20170618,0
20170619,1
20170620,1
20170621,1
20170622,1
20170623,1
20170624,0
20170625,0
20170626,1
20170627,1
20170628,1
20170629,1
20170630,1
20170701,0
20170702,0
20170703,1
20170704,1
20170705,1
20170706,1
20170707,1
20170708,0
20170709,0
20170710,1
20170711,1
20170712,1
20170713,1
20170714,1
20170715,0
20170716,0
20170717,1
20170718,1
20170719,1
20170720,1
20170721,1
20170722,0
20170723,0
20170724,1
20170725,1
20170726,1
20170727,1
20170728,1
20170729,0
20170730,0
20170731,1
20170801,1
20170802,1
20170803,1
20170804,1
20170805,0
20170806,0
20170807,1
20170808,1
20170809,1
20170810,1
20170811,1
20170812,0
20170813,0
20170814,1
20170815,1
20170816,1
20170817,1
20170818,1
20170819,0
20170820,0
20170821,1
20170822,1
20170823,1
20170824,1
20170825,1
20170826,0
20170827,0
20170828,1
20170829,1
20170830,1
20170831,1
