时间,dx,dy,数量
2021-04-01 06:00:00,121.448187,31.221392,37.91
2021-04-01 06:00:00,121.448491,31.221393,14.93
2021-04-01 06:00:00,121.447839,31.221685,21.11
2021-04-01 06:00:00,121.447267,31.22168,27.03
2021-04-01 06:00:00,121.448352,31.221703,16.51
2021-04-01 06:00:00,121.446973,31.221699,11.05
2021-04-01 06:00:00,121.44656,31.22182,28.75
2021-04-01 06:00:00,121.44677,31.221868,15.1
2021-04-01 07:00:00,121.448187,31.221392,25.2
2021-04-01 07:00:00,121.448491,31.221393,23.14
2021-04-01 07:00:00,121.447839,31.221685,15.91
2021-04-01 07:00:00,121.447267,31.22168,39.64
2021-04-01 07:00:00,121.448352,31.221703,24.4
2021-04-01 07:00:00,121.446973,31.221699,16.66
2021-04-01 07:00:00,121.44656,31.22182,26.6
2021-04-01 07:00:00,121.44677,31.221868,13.46
2021-04-01 08:00:00,121.448187,31.221392,22.8
2021-04-01 08:00:00,121.448491,31.221393,35.97
2021-04-01 08:00:00,121.447839,31.221685,23.82
2021-04-01 08:00:00,121.447267,31.22168,41.9
2021-04-01 08:00:00,121.448352,31.221703,11.98
2021-04-01 08:00:00,121.446973,31.221699,17.18
2021-04-01 08:00:00,121.44656,31.22182,38.74
2021-04-01 08:00:00,121.44677,31.221868,19.31
2021-04-01 09:00:00,121.448187,31.221392,35.86
2021-04-01 09:00:00,121.448491,31.221393,26.85
2021-04-01 09:00:00,121.447839,31.221685,23.3
2021-04-01 09:00:00,121.447267,31.22168,23.61
2021-04-01 09:00:00,121.448352,31.221703,30.43
2021-04-01 09:00:00,121.446973,31.221699,20.59
2021-04-01 09:00:00,121.44656,31.22182,29.95
2021-04-01 09:00:00,121.44677,31.221868,29.83
2021-04-01 10:00:00,121.448187,31.221392,25.06
2021-04-01 10:00:00,121.448491,31.221393,38.57
2021-04-01 10:00:00,121.447839,31.221685,19.34
2021-04-01 10:00:00,121.447267,31.22168,10.99
2021-04-01 10:00:00,121.448352,31.221703,21.46
2021-04-01 10:00:00,121.446973,31.221699,30.92
2021-04-01 10:00:00,121.44656,31.22182,17.85
2021-04-01 10:00:00,121.44677,31.221868,37.19
2021-04-01 11:00:00,121.448187,31.221392,37.6
2021-04-01 11:00:00,121.448491,31.221393,25.59
2021-04-01 11:00:00,121.447839,31.221685,29.68
2021-04-01 11:00:00,121.447267,31.22168,27.46
2021-04-01 11:00:00,121.448352,31.221703,21.53
2021-04-01 11:00:00,121.446973,31.221699,19.69
2021-04-01 11:00:00,121.44656,31.22182,22.04
2021-04-01 11:00:00,121.44677,31.221868,42.75
2021-04-01 12:00:00,121.448187,31.221392,14.03
2021-04-01 12:00:00,121.448491,31.221393,24.82
2021-04-01 12:00:00,121.447839,31.221685,27.56
2021-04-01 12:00:00,121.447267,31.22168,27.99
2021-04-01 12:00:00,121.448352,31.221703,20.48
2021-04-01 12:00:00,121.446973,31.221699,14.45
2021-04-01 12:00:00,121.44656,31.22182,27.27
2021-04-01 12:00:00,121.44677,31.221868,25.35
2021-04-01 13:00:00,121.448187,31.221392,29.43
2021-04-01 13:00:00,121.448491,31.221393,32.75
2021-04-01 13:00:00,121.447839,31.221685,21.55
2021-04-01 13:00:00,121.447267,31.22168,32.71
2021-04-01 13:00:00,121.448352,31.221703,24.89
2021-04-01 13:00:00,121.446973,31.221699,27.01
2021-04-01 13:00:00,121.44656,31.22182,22.19
2021-04-01 13:00:00,121.44677,31.221868,14.13
2021-04-01 14:00:00,121.448187,31.221392,24.77
2021-04-01 14:00:00,121.448491,31.221393,19.4
2021-04-01 14:00:00,121.447839,31.221685,45.75
2021-04-01 14:00:00,121.447267,31.22168,16.16
2021-04-01 14:00:00,121.448352,31.221703,20.1
2021-04-01 14:00:00,121.446973,31.221699,12.97
2021-04-01 14:00:00,121.44656,31.22182,15.03
2021-04-01 14:00:00,121.44677,31.221868,14.42
2021-04-01 15:00:00,121.448187,31.221392,14.8
2021-04-01 15:00:00,121.448491,31.221393,17.63
2021-04-01 15:00:00,121.447839,31.221685,30.22
2021-04-01 15:00:00,121.447267,31.22168,28.67
2021-04-01 15:00:00,121.448352,31.221703,40.79
2021-04-01 15:00:00,121.446973,31.221699,26.01
2021-04-01 15:00:00,121.44656,31.22182,20.0
2021-04-01 15:00:00,121.44677,31.221868,30.76
2021-04-01 16:00:00,121.448187,31.221392,13.25
2021-04-01 16:00:00,121.448491,31.221393,29.28
2021-04-01 16:00:00,121.447839,31.221685,33.36
2021-04-01 16:00:00,121.447267,31.22168,29.02
2021-04-01 16:00:00,121.448352,31.221703,23.44
