时间,ox,oy,数量
2021-04-01 06:00:00,121.448337,31.221542,20.99
2021-04-01 06:00:00,121.448641,31.221543,25.59
2021-04-01 06:00:00,121.447989,31.221835,30.81
2021-04-01 06:00:00,121.447417,31.22183,30.87
2021-04-01 06:00:00,121.448502,31.221853,18.05
2021-04-01 06:00:00,121.447123,31.221849,15.93
2021-04-01 06:00:00,121.44671,31.22197,44.25
2021-04-01 06:00:00,121.44692,31.222018,12.43
2021-04-01 07:00:00,121.448337,31.221542,15.7
2021-04-01 07:00:00,121.448641,31.221543,33.19
2021-04-01 07:00:00,121.447989,31.221835,24.77
2021-04-01 07:00:00,121.447417,31.22183,25.21
2021-04-01 07:00:00,121.448502,31.221853,38.94
2021-04-01 07:00:00,121.447123,31.221849,18.2
2021-04-01 07:00:00,121.44671,31.22197,30.34
2021-04-01 07:00:00,121.44692,31.222018,16.35
2021-04-01 08:00:00,121.448337,31.221542,33.8
2021-04-01 08:00:00,121.448641,31.221543,29.21
2021-04-01 08:00:00,121.447989,31.221835,37.28
2021-04-01 08:00:00,121.447417,31.22183,27.75
2021-04-01 08:00:00,121.448502,31.221853,14.36
2021-04-01 08:00:00,121.447123,31.221849,18.55
2021-04-01 08:00:00,121.44671,31.22197,33.5
2021-04-01 08:00:00,121.44692,31.222018,18.33
2021-04-01 09:00:00,121.448337,31.221542,22.01
2021-04-01 09:00:00,121.448641,31.221543,17.18
2021-04-01 09:00:00,121.447989,31.221835,34.82
2021-04-01 09:00:00,121.447417,31.22183,20.23
2021-04-01 09:00:00,121.448502,31.221853,21.54
2021-04-01 09:00:00,121.447123,31.221849,16.78
2021-04-01 09:00:00,121.44671,31.22197,17.93
2021-04-01 09:00:00,121.44692,31.222018,32.8
2021-04-01 10:00:00,121.448337,31.221542,14.92
2021-04-01 10:00:00,121.448641,31.221543,24.59
2021-04-01 10:00:00,121.447989,31.221835,12.32
2021-04-01 10:00:00,121.447417,31.22183,18.07
2021-04-01 10:00:00,121.448502,31.221853,17.0
2021-04-01 10:00:00,121.447123,31.221849,35.72
2021-04-01 10:00:00,121.44671,31.22197,16.51
2021-04-01 10:00:00,121.44692,31.222018,32.01
2021-04-01 11:00:00,121.448337,31.221542,22.95
2021-04-01 11:00:00,121.448641,31.221543,35.77
2021-04-01 11:00:00,121.447989,31.221835,36.61
2021-04-01 11:00:00,121.447417,31.22183,16.08
2021-04-01 11:00:00,121.448502,31.221853,29.4
2021-04-01 11:00:00,121.447123,31.221849,14.85
2021-04-01 11:00:00,121.44671,31.22197,29.76
2021-04-01 11:00:00,121.44692,31.222018,27.07
2021-04-01 12:00:00,121.448337,31.221542,20.18
2021-04-01 12:00:00,121.448641,31.221543,32.41
2021-04-01 12:00:00,121.447989,31.221835,47.28
2021-04-01 12:00:00,121.447417,31.22183,39.16
2021-04-01 12:00:00,121.448502,31.221853,24.27
2021-04-01 12:00:00,121.447123,31.221849,19.78
2021-04-01 12:00:00,121.44671,31.22197,35.62
2021-04-01 12:00:00,121.44692,31.222018,21.89
2021-04-01 13:00:00,121.448337,31.221542,16.56
2021-04-01 13:00:00,121.448641,31.221543,34.46
2021-04-01 13:00:00,121.447989,31.221835,22.83
2021-04-01 13:00:00,121.447417,31.22183,28.37
2021-04-01 13:00:00,121.448502,31.221853,41.64
2021-04-01 13:00:00,121.447123,31.221849,17.36
2021-04-01 13:00:00,121.44671,31.22197,40.83
2021-04-01 13:00:00,121.44692,31.222018,18.27
2021-04-01 14:00:00,121.448337,31.221542,41.49
2021-04-01 14:00:00,121.448641,31.221543,11.77
2021-04-01 14:00:00,121.447989,31.221835,28.64
2021-04-01 14:00:00,121.447417,31.22183,17.68
2021-04-01 14:00:00,121.448502,31.221853,27.21
2021-04-01 14:00:00,121.447123,31.221849,21.56
2021-04-01 14:00:00,121.44671,31.22197,20.82
2021-04-01 14:00:00,121.44692,31.222018,13.96
2021-04-01 15:00:00,121.448337,31.221542,11.83
2021-04-01 15:00:00,121.448641,31.221543,22.98
2021-04-01 15:00:00,121.447989,31.221835,17.53
2021-04-01 15:00:00,121.447417,31.22183,46.1
2021-04-01 15:00:00,121.448502,31.221853,30.02
2021-04-01 15:00:00,121.447123,31.221849,18.69
2021-04-01 15:00:00,121.44671,31.22197,11.25
2021-04-01 15:00:00,121.44692,31.222018,19.41
2021-04-01 16:00:00,121.448337,31.221542,20.56
2021-04-01 16:00:00,121.448641,31.221543,19.94
2021-04-01 16:00:00,121.447989,31.221835,25.14
2021-04-01 16:00:00,121.447417,31.22183,22.33
2021-04-01 16:00:00,121.448502,31.221853,27.36
2021-04-01 16:00:00,121.447123,31.221849,24.28
2021-04-01 16:00:00,121.44671,31.22197,39.5
2021-04-01 16:00:00,121.44692,31.222018,13.28
2021-04-01 17:00:00,121.448337,31.221542,19.74
2021-04-01 17:00:00,121.448641,31.221543,30.22
2021-04-01 17:00:00,121.447989,31.221835,30.31
2021-04-01 17:00:00,121.447417,31.22183,25.12
2021-04-01 17:00:00,121.448502,31.221853,25.62
2021-04-01 17:00:00,121.447123,31.221849,21.61
2021-04-01 17:00:00,121.44671,31.22197,11.92
2021-04-01 17:00:00,121.44692,31.222018,29.64
2021-04-01 18:00:00,121.448337,31.221542,37.75
2021-04-01 18:00:00,121.448641,31.221543,35.46
2021-04-01 18:00:00,121.447989,31.221835,37.42
2021-04-01 18:00:00,121.447417,31.22183,27.22
2021-04-01 18:00:00,121.448502,31.221853,19.26
2021-04-01 18:00:00,121.447123,31.221849,20.84
2021-04-01 18:00:00,121.44671,31.22197,24.61
2021-04-01 18:00:00,121.44692,31.222018,28.48
2021-04-01 19:00:00,121.448337,31.221542,19.15
2021-04-01 19:00:00,121.448641,31.221543,38.29
